OBJECTID;codigo_geo;pob_pad19;municipio_;cod_mund;Shape_Length;Shape_Area
32;1603;12518;Valdemorillo;1603;49007,603514092319529;93801068,587314680218697
33;0941;1449;Navalafuente;941;14285,765608762259944;12176354,410350579768419
34;1678;12236;Velilla de San Antonio;1678;19107,944478007764701;14373597,911371745169163
35;1760;21445;Villanueva de la Cañada;1760;37939,110036822807160;34767898,719033867120743
36;1776;17180;Villanueva del Pardillo;1776;23232,962770299138356;25430508,771974522620440
37;1006;6276;Nuevo Baztán;1006;21738,324943508127035;20103690,025903221219778
38;1757;1441;Villamantilla;1757;23754,996387468076136;23924843,319663882255554
39;1744;2555;Villamanta;1744;39691,227576394827338;63229440,787647202610970
40;0297;756;Cabanillas de la Sierra;297;17436,351881538892485;13808190,613704789429903
41;0376;2033;Cenicientos;376;38427,102760143119667;68245478,619763135910034
42;9020;679;Puentes Viejas;9020;51867,455122899351409;58538427,701842546463013
43;0133;59607;Aranjuez;133;137479,166349379258463;189028425,507422566413879
44;0382;7026;Cercedilla;382;35376,259956343543308;40827398,252104714512825
45;1369;886;Santorcaz;1369;21914,344849027809687;28221797,326364651322365
46;0493;81661;Coslada;493;17218,472295668467268;12015050,780401017516851
47;0915;7683;Morata de Tajuña;915;29193,023595854607265;45288366,286000058054924
48;1261;58;Robregordo;1261;22180,003086827156949;18348608,453309394419193
49;0973;129;Navarredonda y San Mamés;973;22330,120849890936370;28471840,315153080970049
50;1697;2163;Venturada;1697;13213,687345916710910;10222965,008825482800603
51;0936;2972;Navacerrada;936;34053,668390563754656;27512206,238737296313047
52;0881;353;Montejo de la Sierra;881;34131,822653544208151;32184586,750494524836540
53;0571;2221;Fresno de Torote;571;25823,542410043490236;31753303,878781314939260
54;1126;191;Pinilla del Valle;1126;29207,360375955766358;25448049,531903512775898
55;1599;781;Valdemaqueda;1599;49903,818670703665703;51790802,385274507105350
56;0992;2918;Navas del Rey;992;35358,290653987198311;50514276,769427791237831
57;1013;348;Olmeda de las Fuentes;1013;16544,084470031302772;16523910,663186818361282
58;0284;2503;Bustarviejo;284;33745,408526907922351;56130513,855689749121666
59;0186;5714;Becerril de la Sierra;186;43369,787639395064616;29642561,801936645060778
60;0587;193700;Fuenlabrada;587;33699,583077584764396;39181791,363700099289417
61;0626;347;Garganta de los Montes;626;31859,904117183083144;40331608,268586225807667
62;1132;52526;Pinto;1132;35382,100501092631021;61977029,716037184000015
63;0035;200;Alameda del Valle;35;32624,885145291445951;25701333,029947854578495
64;0203;205;Berzosa del Lozoya;203;19435,982018710910779;14615756,923999264836311
65;1375;2590;Los Santos de la Humosa;1375;31170,271711989553296;34820818,163625508546829
66;0040;9470;El Álamo;40;19849,686676763150899;22001619,568991668522358
67;1090;2596;Pelayos de la Presa;1090;11380,163557687092180;7565782,722413415089250
68;0611;33742;Galapagar;611;47642,242900724311767;65192296,906514421105385
69;0663;10319;Griñón;663;20858,296293282190163;17086744,238180182874203
70;0632;316;Gargantilla del Lozoya y Pinilla de Buitrago;632;26439,679715930771636;24176456,374642819166183
71;0088;2838;Aldea del Fresno;88;36267,573767224457697;51658879,076439611613750
72;0357;2010;Carabaña;357;28236,043837143613928;47636722,902781799435616
73;1454;3857;Talamanca de Jarama;1454;42920,224520316718554;38488616,792446464300156
74;0513;2328;Chapinería;513;30170,546494964921294;25553989,204969573765993
75;0409;24592;Ciempozuelos;409;39194,694403059096658;49406536,468589678406715
76;0029;4712;Ajalvir;29;25698,092223549523624;19795115,759434796869755
77;1317;18369;San Lorenzo de El Escorial;1317;47726,067336150350457;56376453,353595644235611
78;0647;193;Gascones;647;25981,541030159631191;20068706,995202485471964
79;1322;19170;San Martín de la Vega;1322;45469,011620941935689;105093698,308265760540962
80;0920;209184;Móstoles;920;38611,113239342317684;44933485,609001114964485
81;0745;189861;Leganés;745;28260,171861134662322;43223034,002730481326580
82;0246;205;Braojos;246;20953,827929865961778;24928509,069220740348101
83;0506;6413;Cubas de la Sagra;506;17156,447496121239965;12889658,188709855079651
84;0091;20611;Algete;91;46021,085908435408783;38000354,922323212027550
85;0843;23274;Mejorada del Campo;843;20426,538723207388102;17934986,369256943464279
86;0758;8791;Loeches;758;34305,164611043517652;44318812,906673893332481
87;1065;130124;Parla;1065;24712,318967983679613;24970508,229111086577177
88;0604;2053;Fuentidueña de Tajo;604;38127,115002145954350;60177352,267100073397160
89;0112;592;Ambite;112;26304,693885314703948;25798141,004379700869322
90;1533;1019;Torremocha de Jarama;1533;28211,989508069029398;18863411,071565929800272
91;0127;1271;Anchuelo;127;24310,261031691050448;21591465,138201188296080
